nofinessej;rsej;eml;libeml;noautor;noautorarhgos;noimplarhgos;dateautor;nofinesset;datemeo
750026569;SAS HOPITAL PRIVE DES PEUPLIERS;05602;Scanographe à utilisation médicale;112609836;11-11-75756;11-11-75756;2022-01-19;750300360;
750712184;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;05602;Scanographe à utilisation médicale;112609727;11-11-62836;11-11-62836;2016-12-09;750803447;2017-06-12
770003598;SELAS EVESIO CMN IDF;05701;Caméra à scintillation sans détecteur d'émission de positons;112609743;11-11-2795;11-11-2795;1999-06-16;770013779;2001-04-25
770003598;SELAS EVESIO CMN IDF;05705;Tomographe à émissions;112609744;11-11-3867;11-11-3867;2006-12-19;770013779;2009-01-09
770003598;SELAS EVESIO CMN IDF;05701;Caméra à scintillation sans détecteur d'émission de positons;112609745;11-11-4111;11-11-4111;2009-04-28;770013779;2009-09-11
770003598;SELAS EVESIO CMN IDF;05705;Tomographe à émissions;112609741;11-11-70690;11-11-70690;2019-04-11;770020527;2019-08-19
770003598;SELAS EVESIO CMN IDF;05701;Caméra à scintillation sans détecteur d'émission de positons;112609742;11-11-1414;11-11-1414;2001-12-11;770020527;2003-11-19
770003598;SELAS EVESIO CMN IDF;05705;Tomographe à émissions;112609746;11-11-5054;11-11-5054;2010-06-25;770020527;2012-01-13
770003598;SELAS EVESIO CMN IDF;05701;Caméra à scintillation sans détecteur d'émission de positons;112609747;11-11-1413;11-11-1413;1998-12-30;770020527;1999-09-23
770013829;GIE IRM SCANNER SUD 77;06201;Appareil d'IRM à utilisation clinique;112609749;11-11-44740;11-11-44740;2012-11-15;770021079;2016-06-22
770013829;GIE IRM SCANNER SUD 77;05602;Scanographe à utilisation médicale;112609748;11-11-1404;11-11-1404;2000-07-19;770021244;2001-05-04
770026177;GIE IMAGERIE DE LA GOELE;05602;Scanographe à utilisation médicale;112609812;11-11-76003;11-11-76003;2022-01-20;770026185;2024-02-26
780110078;CENTRE HOSPITALIER  DE VERSAILLES;05705;Tomographe à émissions;112609750;11-11-40607;11-11-40607;2012-02-24;780800256;2015-05-12
780110078;CENTRE HOSPITALIER  DE VERSAILLES;05701;Caméra à scintillation sans détecteur d'émission de positons;112609751;11-11-6300;11-11-6300;2011-06-24;780800256;2011-11-02
780110078;CENTRE HOSPITALIER  DE VERSAILLES;05701;Caméra à scintillation sans détecteur d'émission de positons;112609752;11-11-1433;11-11-1433;1996-12-18;780800256;2000-02-25
790015168;SCM LIBERALE IRM DES DEUX-SEVRES;06201;Appareil d'IRM à utilisation clinique;752609754;75-54-43378;75-54-43378;2012-03-20;790015978;2012-07-07
790016711;SAS SCANNER 79;05602;Scanographe à utilisation médicale;752609755;75-54-538;75-54-538;2006-05-22;790016067;2006-07-27
790006647;GIE CABINET RADIO DE LA BURGONCE;06201;Appareil d'IRM à utilisation clinique;752609753;75-54-76057;75-54-76057;2021-12-17;790019145;2022-03-09
790015168;SCM LIBERALE IRM DES DEUX-SEVRES;05602;Scanographe à utilisation médicale;752609838;75-54-74737;75-54-74737;2021-03-19;790020739;2025-01-07
790006647;GIE CABINET RADIO DE LA BURGONCE;06201;Appareil d'IRM à utilisation clinique;752609837;75-54-78013;75-54-78013;2023-04-25;790021133;2025-01-06
800000044;CHU AMIENS-PICARDIE;05701;Caméra à scintillation sans détecteur d'émission de positons;322609756;32-22-665;32-22-665;2002-05-22;800006124;2002-10-28
800000044;CHU AMIENS-PICARDIE;05705;Tomographe à émissions;322609757;32-22-70742;32-22-70742;2019-04-16;800006124;2023-06-28
800000044;CHU AMIENS-PICARDIE;05701;Caméra à scintillation sans détecteur d'émission de positons;322609758;32-22-615;32-22-615;1998-01-29;800006124;1998-08-03
800000044;CHU AMIENS-PICARDIE;05701;Caméra à scintillation sans détecteur d'émission de positons;322609759;32-22-616;32-22-616;1997-11-26;800006124;2003-02-03
800000044;CHU AMIENS-PICARDIE;05705;Tomographe à émissions;322609760;32-22-608;32-22-608;2000-06-30;800006124;2004-06-29
